Price vs 50 DMA,Price vs 200 DMA,DMA Diff at Exit,Total Trades,Good Call Count,Wrong Early Sell Count,% Good Call,% Wrong Early Sell
5 to 10,20 to 25,10 to 15,187,0,187,0.0,100.0
-5 to 0,0 to 5,0 to 5,54,48,6,88.89,11.11
5 to 10,15 to 20,5 to 10,45,1,44,2.22,97.78
5 to 10,5 to 10,0 to 5,44,44,0,100.0,0.0
10 to 15,15 to 20,5 to 10,42,10,32,23.81,76.19
-5 to 0,-5 to 0,0 to 5,33,26,7,78.79,21.21
-5 to 0,0 to 5,5 to 10,26,15,11,57.69,42.31
-5 to 0,-5 to 0,-5 to 0,22,0,22,0.0,100.0
5 to 10,-15 to -10,-20 to -15,22,0,22,0.0,100.0
-10 to -5,0 to 5,10 to 15,21,21,0,100.0,0.0
5 to 10,-5 to 0,-10 to -5,21,0,21,0.0,100.0
5 to 10,35 to 40,20 to 25,19,5,14,26.32,73.68
0 to 5,0 to 5,-5 to 0,19,14,5,73.68,26.32
5 to 10,20 to 25,15 to 20,18,18,0,100.0,0.0
5 to 10,15 to 20,10 to 15,17,7,10,41.18,58.82
-10 to -5,-15 to -10,-10 to -5,16,14,2,87.5,12.5
0 to 5,5 to 10,5 to 10,16,0,16,0.0,100.0
5 to 10,-20 to -15,-25 to -20,16,0,16,0.0,100.0
-15 to -10,5 to 10,15 to 20,16,0,16,0.0,100.0
0 to 5,5 to 10,0 to 5,15,4,11,26.67,73.33
15 to 20,10 to 15,-5 to 0,13,13,0,100.0,0.0
5 to 10,-10 to -5,-15 to -10,12,12,0,100.0,0.0
15 to 20,70 to 75,45 to 50,12,0,12,0.0,100.0
10 to 15,-5 to 0,-15 to -10,11,0,11,0.0,100.0
-10 to -5,-5 to 0,5 to 10,11,4,7,36.36,63.64
0 to 5,-5 to 0,-5 to 0,11,11,0,100.0,0.0
10 to 15,-15 to -10,-25 to -20,11,0,11,0.0,100.0
5 to 10,0 to 5,-10 to -5,10,0,10,0.0,100.0
-5 to 0,10 to 15,10 to 15,10,0,10,0.0,100.0
5 to 10,0 to 5,-5 to 0,10,10,0,100.0,0.0
30 to 35,20 to 25,-10 to -5,8,8,0,100.0,0.0
10 to 15,20 to 25,10 to 15,8,8,0,100.0,0.0
0 to 5,10 to 15,5 to 10,8,0,8,0.0,100.0
-5 to 0,-15 to -10,-10 to -5,8,0,8,0.0,100.0
5 to 10,25 to 30,10 to 15,8,8,0,100.0,0.0
5 to 10,10 to 15,5 to 10,7,2,5,28.57,71.43
-20 to -15,-30 to -25,-15 to -10,7,0,7,0.0,100.0
-40 to -35,-40 to -35,-10 to -5,7,0,7,0.0,100.0
10 to 15,25 to 30,10 to 15,7,0,7,0.0,100.0
5 to 10,-5 to 0,-15 to -10,7,0,7,0.0,100.0
15 to 20,30 to 35,15 to 20,7,7,0,100.0,0.0
-15 to -10,-15 to -10,-5 to 0,7,0,7,0.0,100.0
0 to 5,15 to 20,10 to 15,6,2,4,33.33,66.67
30 to 35,40 to 45,10 to 15,6,0,6,0.0,100.0
0 to 5,-10 to -5,-10 to -5,6,3,3,50.0,50.0
0 to 5,20 to 25,15 to 20,6,6,0,100.0,0.0
5 to 10,10 to 15,0 to 5,6,0,6,0.0,100.0
10 to 15,5 to 10,-5 to 0,5,5,0,100.0,0.0
15 to 20,15 to 20,0 to 5,4,4,0,100.0,0.0
15 to 20,30 to 35,10 to 15,4,0,4,0.0,100.0
5 to 10,5 to 10,-5 to 0,4,4,0,100.0,0.0
-10 to -5,-5 to 0,0 to 5,4,0,4,0.0,100.0
0 to 5,30 to 35,25 to 30,3,1,2,33.33,66.67
0 to 5,-15 to -10,-20 to -15,3,0,3,0.0,100.0
15 to 20,25 to 30,10 to 15,3,0,3,0.0,100.0
0 to 5,-10 to -5,-15 to -10,3,3,0,100.0,0.0
-15 to -10,30 to 35,50 to 55,3,0,3,0.0,100.0
-15 to -10,0 to 5,10 to 15,3,3,0,100.0,0.0
-15 to -10,-20 to -15,-5 to 0,2,0,2,0.0,100.0
-15 to -10,0 to 5,15 to 20,2,2,0,100.0,0.0
15 to 20,55 to 60,30 to 35,2,2,0,100.0,0.0
0 to 5,10 to 15,10 to 15,2,0,2,0.0,100.0
0 to 5,-15 to -10,-15 to -10,2,2,0,100.0,0.0
20 to 25,5 to 10,-10 to -5,2,0,2,0.0,100.0
-10 to -5,-10 to -5,-5 to 0,1,1,0,100.0,0.0
-15 to -10,10 to 15,25 to 30,1,1,0,100.0,0.0
-15 to -10,-10 to -5,0 to 5,1,0,1,0.0,100.0
-5 to 0,5 to 10,5 to 10,1,1,0,100.0,0.0
0 to 5,15 to 20,15 to 20,1,1,0,100.0,0.0
-5 to 0,10 to 15,15 to 20,1,1,0,100.0,0.0
-5 to 0,5 to 10,10 to 15,1,0,1,0.0,100.0
-10 to -5,10 to 15,15 to 20,1,1,0,100.0,0.0
-5 to 0,-10 to -5,-5 to 0,1,1,0,100.0,0.0
10 to 15,5 to 10,-10 to -5,1,0,1,0.0,100.0
25 to 30,15 to 20,-10 to -5,1,0,1,0.0,100.0
20 to 25,15 to 20,-5 to 0,1,1,0,100.0,0.0
